EC-Lab ASCII FILE
Nb header lines  58                          

Cyclic Voltammetry

Run on channel  3 (SN 35515)
User  
CE vs. WE compliance from -10 V to 10 V
Electrode connection  standard
Ewe ctrl range  min = -2.50 V, max = 2.50 V
Safety Limits 
	Do not start on E overload
Acquisition started on  03112020 151016
Technique started on  03112020 151016
Saved on 
	File  03112020_MnO2_RDE_50mVs_2500rpm_ExtendedBounds_120mL_counter_C04_C03.mpr
	Directory  CUsersCESLDocumentsEC-LabDataUndergradKatelynEChem20200311
	Host  169.254.217.189
Device  VSP (SN 1724172417241724)
Address  USB
EC-Lab for windows v11.16 (software)
Internet server v11.16 (firmware)
Command interpretor v11.16 (firmware)
Electrode material  AuPd
Initial state  
Electrolyte  NaCl (0.2M)
Comments  Fe(CN)63-Fe(CN)64- 5.10-3 M
Reference electrode  SCE Saturated Calomel Electrode (0.241 V)
Electrode surface area  0.001 cm²
Characteristic mass  0.001 g
Equivalent Weight  0.000 geq.
Density  0.000 gcm3
Record Ece
Record Power
Cycle Definition  ChargeDischarge alternance
Ei (V)              -1.000              
vs.                 Ref                 
dEdt               50.000              
dEdt unit          mVs                
E1 (V)              1.200               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              -2.000              
vs.                 Ref                 
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              -1.000              
vs.                 Ref                 

mode	oxred	error	control changes	counter inc.	times	controlV	EweV	ImA	cycle number	(Q-Qo)C	EceV	PW	Ewe-EceV	
2	0	0	0	0	9.722019754401117E+001	-1.4640057E+000	-1.4643456E+000	-1.523451617944778E-001	1.000000000000000E+000	-1.8642278E-003	1.0813701E+000	2.2308597E-004	-2.5457158E+000
2	0	0	0	0	9.724019754350593E+001	-1.4650059E+000	-1.4652849E+000	-1.522751537720768E-001	1.000000000000000E+000	-1.8672741E-003	1.0868734E+000	2.2312650E-004	-2.5521584E+000
2	0	0	0	0	9.726019754300069E+001	-1.4660062E+000	-1.4663010E+000	-1.522521616166657E-001	1.000000000000000E+000	-1.8703192E-003	1.0911499E+000	2.2324749E-004	-2.5574508E+000
2	0	0	0	0	9.728029754249292E+001	-1.4670074E+000	-1.4673316E+000	-1.521808708183836E-001	1.000000000000000E+000	-1.8733790E-003	1.0912296E+000	2.2329979E-004	-2.5585613E+000
2	0	0	1	0	9.730039754198515E+001	-1.4680066E+000	-1.4682888E+000	-1.522605656646188E-001	1.000000000000000E+000	-1.8764390E-003	1.0907300E+000	2.2356249E-004	-2.5590186E+000
2	0	0	1	0	9.732039754147991E+001	-1.4690069E+000	-1.4692930E+000	-1.524660822728441E-001	1.000000000000000E+000	-1.8794866E-003	1.0888014E+000	2.2401736E-004	-2.5580945E+000
2	0	0	1	0	9.734039754097466E+001	-1.4700071E+000	-1.4703513E+000	-1.531013808239043E-001	1.000000000000000E+000	-1.8825429E-003	1.0853679E+000	2.2511283E-004	-2.5557194E+000
2	0	0	1	0	9.736039754046942E+001	-1.4710073E+000	-1.4713236E+000	-1.531038560335412E-001	1.000000000000000E+000	-1.8856053E-003	1.0836637E+000	2.2526532E-004	-2.5549874E+000
2	0	0	1	0	9.738039753996418E+001	-1.4720076E+000	-1.4723053E+000	-1.527694619338334E-001	1.000000000000000E+000	-1.8886640E-003	1.0837917E+000	2.2492329E-004	-2.5560970E+000
2	0	0	1	0	9.740039753945894E+001	-1.4730078E+000	-1.4732978E+000	-1.524116370775219E-001	1.000000000000000E+000	-1.8917159E-003	1.0838770E+000	2.2454774E-004	-2.5571747E+000
2	0	0	1	0	9.742039753895369E+001	-1.4740081E+000	-1.4743381E+000	-1.522386379591705E-001	1.000000000000000E+000	-1.8947626E-003	1.0842270E+000	2.2445121E-004	-2.5585651E+000
2	0	0	1	0	9.744039753844845E+001	-1.4750082E+000	-1.4753168E+000	-1.523049379466102E-001	1.000000000000000E+000	-1.8978085E-003	1.0869124E+000	2.2469801E-004	-2.5622292E+000
2	0	0	1	0	9.746039753794321E+001	-1.4760085E+000	-1.4763335E+000	-1.525171691318966E-001	1.000000000000000E+000	-1.9008572E-003	1.0929049E+000	2.2516621E-004	-2.5692384E+000
2	0	0	1	0	9.748039753743797E+001	-1.4770087E+000	-1.4773091E+000	-1.527683998897869E-001	1.000000000000000E+000	-1.9039103E-003	1.0970249E+000	2.2568615E-004	-2.5743341E+000
2	0	0	1	0	9.750039753693272E+001	-1.4780090E+000	-1.4783313E+000	-1.527986240495616E-001	1.000000000000000E+000	-1.9069660E-003	1.0971351E+000	2.2588699E-004	-2.5754664E+000
2	0	0	1	0	9.752039753642748E+001	-1.4790093E+000	-1.4793415E+000	-1.528629779350010E-001	1.000000000000000E+000	-1.9100227E-003	1.0973501E+000	2.2613656E-004	-2.5766916E+000
2	0	0	1	0	9.754039753592224E+001	-1.4800094E+000	-1.4802694E+000	-1.532936394990726E-001	1.000000000000000E+000	-1.9130846E-003	1.0957280E+000	2.2691589E-004	-2.5759974E+000
2	0	0	1	0	9.756039753541700E+001	-1.4810096E+000	-1.4813180E+000	-1.539996434003115E-001	1.000000000000000E+000	-1.9161586E-003	1.0920136E+000	2.2812244E-004	-2.5733316E+000
2	0	0	1	0	9.758039753491175E+001	-1.4820099E+000	-1.4823169E+000	-1.540006193746288E-001	1.000000000000000E+000	-1.9192391E-003	1.0910027E+000	2.2827773E-004	-2.5733194E+000
2	0	0	1	0	9.760039753440651E+001	-1.4830102E+000	-1.4832913E+000	-1.539522646538289E-001	1.000000000000000E+000	-1.9223187E-003	1.0913351E+000	2.2835606E-004	-2.5746264E+000
2	0	0	1	0	9.762039753390127E+001	-1.4840103E+000	-1.4843050E+000	-1.536254736258540E-001	1.000000000000000E+000	-1.9253944E-003	1.0911406E+000	2.2802706E-004	-2.5754457E+000
2	0	0	1	0	9.764039753339603E+001	-1.4850106E+000	-1.4853293E+000	-1.534085555597103E-001	1.000000000000000E+000	-1.9284649E-003	1.0919389E+000	2.2786223E-004	-2.5772681E+000
2	0	0	1	0	9.766039753289078E+001	-1.4860109E+000	-1.4863260E+000	-1.533044252104847E-001	1.000000000000000E+000	-1.9315322E-003	1.0954044E+000	2.2786035E-004	-2.5817304E+000
2	0	0	1	0	9.768039753238554E+001	-1.4870111E+000	-1.4873089E+000	-1.532763207020855E-001	1.000000000000000E+000	-1.9345983E-003	1.1003574E+000	2.2796924E-004	-2.5876663E+000
2	0	0	1	0	9.770039753188030E+001	-1.4880114E+000	-1.4883322E+000	-1.532189495370000E-001	1.000000000000000E+000	-1.9376636E-003	1.1022329E+000	2.2804069E-004	-2.5905652E+000
2	0	0	1	0	9.772039753137506E+001	-1.4890115E+000	-1.4893212E+000	-1.531923384690241E-001	1.000000000000000E+000	-1.9407279E-003	1.1010572E+000	2.2815261E-004	-2.5903783E+000
2	0	0	1	0	9.774039753086981E+001	-1.4900118E+000	-1.4903456E+000	-1.533561294199894E-001	1.000000000000000E+000	-1.9437934E-003	1.0995723E+000	2.2855365E-004	-2.5899179E+000
2	0	0	1	0	9.776039753036457E+001	-1.4910120E+000	-1.4913137E+000	-1.540605575234314E-001	1.000000000000000E+000	-1.9468678E-003	1.0966980E+000	2.2975262E-004	-2.5880117E+000
2	0	0	1	0	9.778039752985933E+001	-1.4920123E+000	-1.4923273E+000	-1.542055224094341E-001	1.000000000000000E+000	-1.9499512E-003	1.0953672E+000	2.3012511E-004	-2.5876946E+000
2	0	0	1	0	9.780039752935409E+001	-1.4930125E+000	-1.4932985E+000	-1.542081736519725E-001	1.000000000000000E+000	-1.9530358E-003	1.0954652E+000	2.3027883E-004	-2.5887637E+000
2	0	0	1	0	9.782039752884884E+001	-1.4940127E+000	-1.4943155E+000	-1.543376685327122E-001	1.000000000000000E+000	-1.9561218E-003	1.0961226E+000	2.3062919E-004	-2.5904381E+000
2	0	0	1	0	9.784039752834360E+001	-1.4950130E+000	-1.4953439E+000	-1.543998148344043E-001	1.000000000000000E+000	-1.9592093E-003	1.0969994E+000	2.3088082E-004	-2.5923433E+000
2	0	0	1	0	9.786039752783836E+001	-1.4960132E+000	-1.4963024E+000	-1.541640672108362E-001	1.000000000000000E+000	-1.9622950E-003	1.0994595E+000	2.3067604E-004	-2.5957618E+000
2	0	0	1	0	9.788039752733312E+001	-1.4970134E+000	-1.4972779E+000	-1.538505221768796E-001	1.000000000000000E+000	-1.9653752E-003	1.1055748E+000	2.3035698E-004	-2.6028528E+000
2	0	0	1	0	9.790039752682787E+001	-1.4980137E+000	-1.4983224E+000	-1.536977764658836E-001	1.000000000000000E+000	-1.9684508E-003	1.1087044E+000	2.3028882E-004	-2.6070268E+000
2	0	0	1	0	9.792039752632263E+001	-1.4990138E+000	-1.4993244E+000	-1.536775388651418E-001	1.000000000000000E+000	-1.9715249E-003	1.1083018E+000	2.3041249E-004	-2.6076262E+000
2	0	0	1	0	9.794039752581739E+001	-1.5000142E+000	-1.5003222E+000	-1.539373350096858E-001	1.000000000000000E+000	-1.9746015E-003	1.1076962E+000	2.3095561E-004	-2.6080184E+000
2	0	0	1	0	9.796039752531215E+001	-1.5010144E+000	-1.5013262E+000	-1.543888510592901E-001	1.000000000000000E+000	-1.9776851E-003	1.1047251E+000	2.3178801E-004	-2.6060514E+000
2	0	0	1	0	9.798039752480690E+001	-1.5020146E+000	-1.5023146E+000	-1.548442719762935E-001	1.000000000000000E+000	-1.9807778E-003	1.1021456E+000	2.3262481E-004	-2.6044602E+000
2	0	0	1	0	9.800039752430166E+001	-1.5030148E+000	-1.5033386E+000	-1.548646809662582E-001	1.000000000000000E+000	-1.9838754E-003	1.1013738E+000	2.3281405E-004	-2.6047125E+000
2	0	0	1	0	9.802039752379642E+001	-1.5040150E+000	-1.5043004E+000	-1.548341817300142E-001	1.000000000000000E+000	-1.9869728E-003	1.1011560E+000	2.3291711E-004	-2.6054564E+000
2	0	0	1	0	9.804039752329118E+001	-1.5050154E+000	-1.5053101E+000	-1.546588971331296E-001	1.000000000000000E+000	-1.9900680E-003	1.1012661E+000	2.3280960E-004	-2.6065762E+000
2	0	0	1	0	9.806039752278593E+001	-1.5060154E+000	-1.5062716E+000	-1.545944649260487E-001	1.000000000000000E+000	-1.9931612E-003	1.1022730E+000	2.3286126E-004	-2.6085446E+000
2	0	0	1	0	9.808039752228069E+001	-1.5070157E+000	-1.5072608E+000	-1.545670532569701E-001	1.000000000000000E+000	-1.9962529E-003	1.1050993E+000	2.3297286E-004	-2.6123600E+000
2	0	0	1	0	9.810039752177545E+001	-1.5080160E+000	-1.5083107E+000	-1.544271302409470E-001	1.000000000000000E+000	-1.9993430E-003	1.1106229E+000	2.3292408E-004	-2.6189337E+000
2	0	0	1	0	9.812039752127021E+001	-1.5090162E+000	-1.5092956E+000	-1.542489196225583E-001	1.000000000000000E+000	-2.0024299E-003	1.1130430E+000	2.3280722E-004	-2.6223385E+000
2	0	0	1	0	9.814049752076244E+001	-1.5100154E+000	-1.5103025E+000	-1.540950567047061E-001	1.000000000000000E+000	-2.0055291E-003	1.1126193E+000	2.3273015E-004	-2.6229219E+000
2	0	0	0	0	9.816059752025467E+001	-1.5110166E+000	-1.5112933E+000	-1.542954196144519E-001	1.000000000000000E+000	-2.0086288E-003	1.1124419E+000	2.3318562E-004	-2.6237352E+000
2	0	0	0	0	9.818059751974943E+001	-1.5120169E+000	-1.5122689E+000	-1.550663136359718E-001	1.000000000000000E+000	-2.0117229E-003	1.1097080E+000	2.3450196E-004	-2.6219769E+000
2	0	0	0	0	9.820059751924418E+001	-1.5130173E+000	-1.5132899E+000	-1.553796672960745E-001	1.000000000000000E+000	-2.0148277E-003	1.1081841E+000	2.3513449E-004	-2.6214740E+000
2	0	0	0	0	9.822059751873894E+001	-1.5140173E+000	-1.5143174E+000	-1.552564453644054E-001	1.000000000000000E+000	-2.0179341E-003	1.1073902E+000	2.3510754E-004	-2.6217074E+000
2	0	0	0	0	9.824059751823370E+001	-1.5150176E+000	-1.5153255E+000	-1.552606066042141E-001	1.000000000000000E+000	-2.0210396E-003	1.1073525E+000	2.3527036E-004	-2.6226780E+000
2	0	0	0	0	9.826059751772846E+001	-1.5160179E+000	-1.5163084E+000	-1.551755670872000E-001	1.000000000000000E+000	-2.0241444E-003	1.1074710E+000	2.3529402E-004	-2.6237793E+000
2	0	0	0	0	9.828059751722321E+001	-1.5170181E+000	-1.5173308E+000	-1.549786225401069E-001	1.000000000000000E+000	-2.0272462E-003	1.1086535E+000	2.3515383E-004	-2.6259842E+000
2	0	0	0	0	9.830059751671797E+001	-1.5180184E+000	-1.5182871E+000	-1.548406459753295E-001	1.000000000000000E+000	-2.0303447E-003	1.1135957E+000	2.3509255E-004	-2.6318827E+000
2	0	0	0	0	9.832059751621273E+001	-1.5190185E+000	-1.5193135E+000	-1.549971045201843E-001	1.000000000000000E+000	-2.0334430E-003	1.1182499E+000	2.3548919E-004	-2.6375632E+000
2	0	0	0	0	9.834059751570749E+001	-1.5200187E+000	-1.5203229E+000	-1.551164284400226E-001	1.000000000000000E+000	-2.0365443E-003	1.1189040E+000	2.3582706E-004	-2.6392269E+000
2	0	0	0	0	9.836059751520224E+001	-1.5210191E+000	-1.5213027E+000	-1.550512822189685E-001	1.000000000000000E+000	-2.0396463E-003	1.1188610E+000	2.3587992E-004	-2.6401637E+000
2	0	0	0	0	9.838059751469700E+001	-1.5220191E+000	-1.5223089E+000	-1.551920030679961E-001	1.000000000000000E+000	-2.0427490E-003	1.1177937E+000	2.3625017E-004	-2.6401026E+000
2	0	0	0	0	9.840059751419176E+001	-1.5230196E+000	-1.5232928E+000	-1.559089736806025E-001	1.000000000000000E+000	-2.0458605E-003	1.1148776E+000	2.3749501E-004	-2.6381702E+000
2	0	0	0	0	9.842059751368652E+001	-1.5240198E+000	-1.5243245E+000	-1.559872037808714E-001	1.000000000000000E+000	-2.0489804E-003	1.1131574E+000	2.3777512E-004	-2.6374819E+000
2	0	0	0	0	9.844059751318127E+001	-1.5250199E+000	-1.5252894E+000	-1.558679580533253E-001	1.000000000000000E+000	-2.0520992E-003	1.1126307E+000	2.3774376E-004	-2.6379201E+000
2	0	0	0	0	9.846059751267603E+001	-1.5260203E+000	-1.5263126E+000	-1.557411116082211E-001	1.000000000000000E+000	-2.0552152E-003	1.1127286E+000	2.3770962E-004	-2.6390412E+000
2	0	0	0	0	9.848059751217079E+001	-1.5270205E+000	-1.5272850E+000	-1.555909339286798E-001	1.000000000000000E+000	-2.0583286E-003	1.1136236E+000	2.3763170E-004	-2.6409087E+000
2	0	0	0	0	9.850059751166555E+001	-1.5280206E+000	-1.5282902E+000	-1.553791471653508E-001	1.000000000000000E+000	-2.0614387E-003	1.1153535E+000	2.3746442E-004	-2.6436436E+000
2	0	0	0	0	9.852059751116030E+001	-1.5290209E+000	-1.5293591E+000	-1.551933341607863E-001	1.000000000000000E+000	-2.0645449E-003	1.1208094E+000	2.3734634E-004	-2.6501684E+000
2	0	0	0	0	9.854059751065506E+001	-1.5300211E+000	-1.5302908E+000	-1.551782148890188E-001	1.000000000000000E+000	-2.0676490E-003	1.1247710E+000	2.3746780E-004	-2.6550617E+000
2	0	0	0	0	9.856059751014982E+001	-1.5310215E+000	-1.5313164E+000	-1.552845488768071E-001	1.000000000000000E+000	-2.0707538E-003	1.1245818E+000	2.3778979E-004	-2.6558981E+000
2	0	0	0	0	9.858059750964458E+001	-1.5320215E+000	-1.5322875E+000	-1.556380546729387E-001	1.000000000000000E+000	-2.0738631E-003	1.1236051E+000	2.3848224E-004	-2.6558926E+000
2	0	0	0	0	9.860059750913933E+001	-1.5330218E+000	-1.5333065E+000	-1.561907769775841E-001	1.000000000000000E+000	-2.0769816E-003	1.1201078E+000	2.3948833E-004	-2.6534142E+000
2	0	0	0	0	9.862059750863409E+001	-1.5340221E+000	-1.5342809E+000	-1.563992985886418E-001	1.000000000000000E+000	-2.0801083E-003	1.1178799E+000	2.3996046E-004	-2.6521606E+000
2	0	0	0	0	9.864059750812885E+001	-1.5350224E+000	-1.5353359E+000	-1.562880177516490E-001	1.000000000000000E+000	-2.0832357E-003	1.1174746E+000	2.3995459E-004	-2.6528106E+000
2	0	0	0	0	9.866059750762361E+001	-1.5360225E+000	-1.5363146E+000	-1.562604338396332E-001	1.000000000000000E+000	-2.0863616E-003	1.1172992E+000	2.4006519E-004	-2.6536138E+000
2	0	0	0	0	9.868059750711836E+001	-1.5370227E+000	-1.5373356E+000	-1.562039523851124E-001	1.000000000000000E+000	-2.0894865E-003	1.1181931E+000	2.4013790E-004	-2.6555288E+000
2	0	0	0	0	9.870059750661312E+001	-1.5380230E+000	-1.5383399E+000	-1.561723897725131E-001	1.000000000000000E+000	-2.0926101E-003	1.1194282E+000	2.4024621E-004	-2.6577680E+000
2	0	0	0	0	9.872059750610788E+001	-1.5390233E+000	-1.5393610E+000	-1.559859772031711E-001	1.000000000000000E+000	-2.0957319E-003	1.1234994E+000	2.4011874E-004	-2.6628604E+000
2	0	0	0	0	9.874059750560264E+001	-1.5400234E+000	-1.5402792E+000	-1.559459255335647E-001	1.000000000000000E+000	-2.0988514E-003	1.1284622E+000	2.4020026E-004	-2.6687412E+000
2	0	0	0	0	9.876059750509739E+001	-1.5410237E+000	-1.5413300E+000	-1.559617535547451E-001	1.000000000000000E+000	-2.1019711E-003	1.1302012E+000	2.4038853E-004	-2.6715312E+000
2	0	0	0	0	9.878059750459215E+001	-1.5420239E+000	-1.5423214E+000	-1.559941031090498E-001	1.000000000000000E+000	-2.1050910E-003	1.1290245E+000	2.4059304E-004	-2.6713459E+000
2	0	0	0	0	9.880059750408691E+001	-1.5430243E+000	-1.5433105E+000	-1.561758423922579E-001	1.000000000000000E+000	-2.1082130E-003	1.1279653E+000	2.4102781E-004	-2.6712759E+000
2	0	0	0	0	9.882059750358167E+001	-1.5440243E+000	-1.5442775E+000	-1.567513795776495E-001	1.000000000000000E+000	-2.1113423E-003	1.1255604E+000	2.4206763E-004	-2.6698380E+000
2	0	0	0	0	9.884059750307642E+001	-1.5450246E+000	-1.5453210E+000	-1.567953114734129E-001	1.000000000000000E+000	-2.1144783E-003	1.1238948E+000	2.4229908E-004	-2.6692157E+000
2	0	0	0	0	9.886059750257118E+001	-1.5460249E+000	-1.5462974E+000	-1.566849045403716E-001	1.000000000000000E+000	-2.1176133E-003	1.1229621E+000	2.4228147E-004	-2.6692595E+000
2	0	0	0	0	9.888059750206594E+001	-1.5470251E+000	-1.5472857E+000	-1.566093324476645E-001	1.000000000000000E+000	-2.1207468E-003	1.1226876E+000	2.4231937E-004	-2.6699734E+000
2	0	0	0	0	9.890059750156070E+001	-1.5480254E+000	-1.5483376E+000	-1.564719590953452E-001	1.000000000000000E+000	-2.1238781E-003	1.1229181E+000	2.4227140E-004	-2.6712556E+000
2	0	0	0	0	9.892059750105545E+001	-1.5490255E+000	-1.5493004E+000	-1.564431390078327E-001	1.000000000000000E+000	-2.1270071E-003	1.1244488E+000	2.4237741E-004	-2.6737492E+000
2	0	0	0	0	9.894059750055021E+001	-1.5500258E+000	-1.5502992E+000	-1.563483887584873E-001	1.000000000000000E+000	-2.1301350E-003	1.1297917E+000	2.4238678E-004	-2.6800909E+000
2	0	0	0	0	9.896059750004497E+001	-1.5510262E+000	-1.5513002E+000	-1.562493047418276E-001	1.000000000000000E+000	-2.1332612E-003	1.1342900E+000	2.4238956E-004	-2.6855903E+000
2	0	0	0	0	9.898069749953720E+001	-1.5520285E+000	-1.5523220E+000	-1.562679584163682E-001	1.000000000000000E+000	-2.1364023E-003	1.1354752E+000	2.4257819E-004	-2.6877971E+000
2	0	0	1	0	9.900079749902943E+001	-1.5530266E+000	-1.5532416E+000	-1.563537831469952E-001	1.000000000000000E+000	-2.1395446E-003	1.1343260E+000	2.4285521E-004	-2.6875677E+000
2	0	0	1	0	9.902079749852419E+001	-1.5540268E+000	-1.5542754E+000	-1.566842829213582E-001	1.000000000000000E+000	-2.1426752E-003	1.1322441E+000	2.4353052E-004	-2.6865196E+000
2	0	0	1	0	9.904079749801895E+001	-1.5550270E+000	-1.5553037E+000	-1.573152489856708E-001	1.000000000000000E+000	-2.1458159E-003	1.1287364E+000	2.4467299E-004	-2.6840401E+000
2	0	0	1	0	9.906079749751370E+001	-1.5560273E+000	-1.5563260E+000	-1.573617489387587E-001	1.000000000000000E+000	-2.1489628E-003	1.1270423E+000	2.4490617E-004	-2.6833682E+000
2	0	0	1	0	9.908079749700846E+001	-1.5570275E+000	-1.5573080E+000	-1.572011303570533E-001	1.000000000000000E+000	-2.1521086E-003	1.1271108E+000	2.4481057E-004	-2.6844187E+000
2	0	0	1	0	9.910079749650322E+001	-1.5580277E+000	-1.5583565E+000	-1.570035789110171E-001	1.000000000000000E+000	-2.1552509E-003	1.1269240E+000	2.4466755E-004	-2.6852806E+000
2	0	0	1	0	9.912079749599798E+001	-1.5590280E+000	-1.5593108E+000	-1.568430480805949E-001	1.000000000000000E+000	-2.1583899E-003	1.1274440E+000	2.4456705E-004	-2.6867547E+000
2	0	0	1	0	9.914079749549273E+001	-1.5600282E+000	-1.5602937E+000	-1.567880654086665E-001	1.000000000000000E+000	-2.1615264E-003	1.1303986E+000	2.4463542E-004	-2.6906924E+000
2	0	0	1	0	9.916079749498749E+001	-1.5610285E+000	-1.5613065E+000	-1.567179717951351E-001	1.000000000000000E+000	-2.1646614E-003	1.1360188E+000	2.4468478E-004	-2.6973252E+000
2	0	0	1	0	9.918079749448225E+001	-1.5620288E+000	-1.5623126E+000	-1.566613052531873E-001	1.000000000000000E+000	-2.1677953E-003	1.1387382E+000	2.4475393E-004	-2.7010508E+000
2	0	0	1	0	9.920079749397701E+001	-1.5630289E+000	-1.5633261E+000	-1.567017042026335E-001	1.000000000000000E+000	-2.1709290E-003	1.1387932E+000	2.4497585E-004	-2.7021194E+000
2	0	0	1	0	9.922079749347176E+001	-1.5640292E+000	-1.5643134E+000	-1.569500919948847E-001	1.000000000000000E+000	-2.1740657E-003	1.1385922E+000	2.4551913E-004	-2.7029057E+000
2	0	0	1	0	9.924079749296652E+001	-1.5650294E+000	-1.5653229E+000	-1.574844371449822E-001	1.000000000000000E+000	-2.1772105E-003	1.1348273E+000	2.4651401E-004	-2.7001500E+000
2	0	0	1	0	9.926079749246128E+001	-1.5660297E+000	-1.5663556E+000	-1.579179359444725E-001	1.000000000000000E+000	-2.1803654E-003	1.1311821E+000	2.4735564E-004	-2.6975377E+000
2	0	0	1	0	9.928079749195604E+001	-1.5670300E+000	-1.5672971E+000	-1.578128311731331E-001	1.000000000000000E+000	-2.1835228E-003	1.1307589E+000	2.4733960E-004	-2.6980560E+000
2	0	0	1	0	9.930079749145079E+001	-1.5680301E+000	-1.5683013E+000	-1.577531584512650E-001	1.000000000000000E+000	-2.1866783E-003	1.1309203E+000	2.4740447E-004	-2.6992216E+000
2	0	0	1	0	9.932079749094555E+001	-1.5690304E+000	-1.5693117E+000	-1.576323261381023E-001	1.000000000000000E+000	-2.1898325E-003	1.1311644E+000	2.4737426E-004	-2.7004762E+000
2	0	0	1	0	9.934079749044031E+001	-1.5700306E+000	-1.5702724E+000	-1.575212937702115E-001	1.000000000000000E+000	-2.1929841E-003	1.1325778E+000	2.4735136E-004	-2.7028503E+000
2	0	0	1	0	9.936079748993507E+001	-1.5710309E+000	-1.5713021E+000	-1.573065974646138E-001	1.000000000000000E+000	-2.1961327E-003	1.1363038E+000	2.4717618E-004	-2.7076058E+000
2	0	0	1	0	9.938079748942982E+001	-1.5720311E+000	-1.5722913E+000	-1.571733841491447E-001	1.000000000000000E+000	-2.1992777E-003	1.1423115E+000	2.4712234E-004	-2.7146027E+000
2	0	0	1	0	9.940079748892458E+001	-1.5730313E+000	-1.5733422E+000	-1.571561367923604E-001	1.000000000000000E+000	-2.2024214E-003	1.1445587E+000	2.4726038E-004	-2.7179008E+000
2	0	0	1	0	9.942079748841934E+001	-1.5740316E+000	-1.5742974E+000	-1.571484534328591E-001	1.000000000000000E+000	-2.2055644E-003	1.1436684E+000	2.4739839E-004	-2.7179658E+000
2	0	0	1	0	9.944079748791410E+001	-1.5750318E+000	-1.5753397E+000	-1.572666297304544E-001	1.000000000000000E+000	-2.2087086E-003	1.1424429E+000	2.4774836E-004	-2.7177825E+000
2	0	0	1	0	9.946079748740885E+001	-1.5760320E+000	-1.5763576E+000	-1.578164558029835E-001	1.000000000000000E+000	-2.2118597E-003	1.1390755E+000	2.4877518E-004	-2.7154331E+000
2	0	0	1	0	9.948079748690361E+001	-1.5770322E+000	-1.5773468E+000	-1.579489534875993E-001	1.000000000000000E+000	-2.2150180E-003	1.1364932E+000	2.4914028E-004	-2.7138400E+000
2	0	0	1	0	9.950079748639837E+001	-1.5780325E+000	-1.5782979E+000	-1.579211924561394E-001	1.000000000000000E+000	-2.2181768E-003	1.1345252E+000	2.4924669E-004	-2.7128229E+000
2	0	0	1	0	9.952079748589313E+001	-1.5790328E+000	-1.5793188E+000	-1.580078320370778E-001	1.000000000000000E+000	-2.2213364E-003	1.1344023E+000	2.4954474E-004	-2.7137210E+000
2	0	0	1	0	9.954079748538788E+001	-1.5800329E+000	-1.5803188E+000	-1.580134008028020E-001	1.000000000000000E+000	-2.2244963E-003	1.1352711E+000	2.4971156E-004	-2.7155900E+000
2	0	0	1	0	9.956079748488264E+001	-1.5810332E+000	-1.5813072E+000	-1.577927564503616E-001	1.000000000000000E+000	-2.2276547E-003	1.1372007E+000	2.4951884E-004	-2.7185078E+000
2	0	0	1	0	9.958079748437740E+001	-1.5820334E+000	-1.5823271E+000	-1.575141342020481E-001	1.000000000000000E+000	-2.2308081E-003	1.1433556E+000	2.4923889E-004	-2.7256827E+000
2	0	0	1	0	9.960079748387216E+001	-1.5830337E+000	-1.5833100E+000	-1.573857941483661E-001	1.000000000000000E+000	-2.2339574E-003	1.1480011E+000	2.4919052E-004	-2.7313111E+000
2	0	0	1	0	9.962079748336691E+001	-1.5840338E+000	-1.5842910E+000	-1.573319594479268E-001	1.000000000000000E+000	-2.2371048E-003	1.1481295E+000	2.4925961E-004	-2.7324204E+000
2	0	0	1	0	9.964079748286167E+001	-1.5850341E+000	-1.5853066E+000	-1.574101905829991E-001	1.000000000000000E+000	-2.2402524E-003	1.1472614E+000	2.4954343E-004	-2.7325680E+000
2	0	0	1	0	9.966079748235643E+001	-1.5860344E+000	-1.5863489E+000	-1.576269322023207E-001	1.000000000000000E+000	-2.2434026E-003	1.1452692E+000	2.5005129E-004	-2.7316179E+000
2	0	0	1	0	9.968079748185119E+001	-1.5870346E+000	-1.5873128E+000	-1.583419571268472E-001	1.000000000000000E+000	-2.2465626E-003	1.1423162E+000	2.5133824E-004	-2.7296290E+000
2	0	0	1	0	9.970079748134594E+001	-1.5880349E+000	-1.5883201E+000	-1.584686296215896E-001	1.000000000000000E+000	-2.2497312E-003	1.1407639E+000	2.5169892E-004	-2.7290840E+000
2	0	0	1	0	9.972079748084070E+001	-1.5890352E+000	-1.5892553E+000	-1.583846624449101E-001	1.000000000000000E+000	-2.2529003E-003	1.1410612E+000	2.5171367E-004	-2.7303166E+000
2	0	0	1	0	9.974079748033546E+001	-1.5900353E+000	-1.5903103E+000	-1.582257248357761E-001	1.000000000000000E+000	-2.2560665E-003	1.1415842E+000	2.5162802E-004	-2.7318945E+000
2	0	0	1	0	9.976079747983022E+001	-1.5910356E+000	-1.5913273E+000	-1.581656149226345E-001	1.000000000000000E+000	-2.2592305E-003	1.1427360E+000	2.5169327E-004	-2.7340631E+000
2	0	0	1	0	9.978079747932497E+001	-1.5920358E+000	-1.5923399E+000	-1.580278910308452E-001	1.000000000000000E+000	-2.2623923E-003	1.1449939E+000	2.5163410E-004	-2.7373338E+000
