EC-Lab ASCII FILE
Nb header lines  58                          

Cyclic Voltammetry

Run on channel  3 (SN 35515)
User  
CE vs. WE compliance from -10 V to 10 V
Electrode connection  standard
Ewe ctrl range  min = -2.50 V, max = 2.50 V
Safety Limits 
	Do not start on E overload
Acquisition started on  03112020 151016
Technique started on  03112020 151016
Saved on 
	File  03112020_MnO2_RDE_50mVs_2500rpm_ExtendedBounds_120mL_counter_C04_C03.mpr
	Directory  CUsersCESLDocumentsEC-LabDataUndergradKatelynEChem20200311
	Host  169.254.217.189
Device  VSP (SN 1724172417241724)
Address  USB
EC-Lab for windows v11.16 (software)
Internet server v11.16 (firmware)
Command interpretor v11.16 (firmware)
Electrode material  AuPd
Initial state  
Electrolyte  NaCl (0.2M)
Comments  Fe(CN)63-Fe(CN)64- 5.10-3 M
Reference electrode  SCE Saturated Calomel Electrode (0.241 V)
Electrode surface area  0.001 cm²
Characteristic mass  0.001 g
Equivalent Weight  0.000 geq.
Density  0.000 gcm3
Record Ece
Record Power
Cycle Definition  ChargeDischarge alternance
Ei (V)              -1.000              
vs.                 Ref                 
dEdt               50.000              
dEdt unit          mVs                
E1 (V)              1.200               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              -2.000              
vs.                 Ref                 
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              -1.000              
vs.                 Ref                 

mode	oxred	error	control changes	counter inc.	times	controlV	EweV	ImA	cycle number	(Q-Qo)C	EceV	PW	Ewe-EceV	
2	1	0	0	0	3.709999906277517E-001	-9.7849131E-001	-9.7886300E-001	-7.638979897860221E-002	1.000000000000000E+000	-3.0510786E-005	2.8009269E-001	7.4775147E-005	-1.2589557E+000
2	1	0	0	0	3.909999901225092E-001	-9.7749108E-001	-9.7783130E-001	-7.603090980814560E-002	1.000000000000000E+000	-3.2034619E-005	2.8965667E-001	7.4345407E-005	-1.2674880E+000
2	1	0	0	0	4.109999896172667E-001	-9.7649086E-001	-9.7685570E-001	-7.579913554945950E-002	1.000000000000000E+000	-3.3552413E-005	2.9778406E-001	7.4044816E-005	-1.2746397E+000
2	1	0	0	0	4.309999891120242E-001	-9.7549063E-001	-9.7587806E-001	-7.567688675286854E-002	1.000000000000000E+000	-3.5066922E-005	3.0538934E-001	7.3851414E-005	-1.2812674E+000
2	1	0	0	0	4.509999886067817E-001	-9.7449034E-001	-9.7485596E-001	-7.542116420679834E-002	1.000000000000000E+000	-3.6577567E-005	3.1278795E-001	7.3524767E-005	-1.2876439E+000
2	1	0	0	0	4.709999881015392E-001	-9.7349012E-001	-9.7388470E-001	-7.510399959412273E-002	1.000000000000000E+000	-3.8082217E-005	3.2018149E-001	7.3142633E-005	-1.2940662E+000
2	1	0	0	0	4.909999875962967E-001	-9.7248989E-001	-9.7283924E-001	-7.466591714182802E-002	1.000000000000000E+000	-3.9579329E-005	3.2694393E-001	7.2637937E-005	-1.2997832E+000
2	1	0	0	0	5.109999870910542E-001	-9.7148967E-001	-9.7182453E-001	-7.422084096146531E-002	1.000000000000000E+000	-4.1067713E-005	3.3315620E-001	7.2129638E-005	-1.3049808E+000
2	1	0	0	0	5.309999865858117E-001	-9.7048938E-001	-9.7089249E-001	-7.375491439597665E-002	1.000000000000000E+000	-4.2546952E-005	3.3929691E-001	7.1608090E-005	-1.3101894E+000
2	1	0	0	0	5.509999860805692E-001	-9.6948916E-001	-9.6982157E-001	-7.328951632371172E-002	1.000000000000000E+000	-4.4017026E-005	3.4633738E-001	7.1077753E-005	-1.3161590E+000
2	1	0	0	0	5.709999855753267E-001	-9.6848893E-001	-9.6883869E-001	-7.297058534135781E-002	1.000000000000000E+000	-4.5479137E-005	3.5236597E-001	7.0696726E-005	-1.3212047E+000
2	1	0	0	0	5.909999850700842E-001	-9.6748871E-001	-9.6782076E-001	-7.269063655985492E-002	1.000000000000000E+000	-4.6935096E-005	3.5691777E-001	7.0351503E-005	-1.3247385E+000
2	1	0	0	0	6.109999845648417E-001	-9.6648842E-001	-9.6683043E-001	-7.240017333404236E-002	1.000000000000000E+000	-4.8385380E-005	3.6112523E-001	6.9998692E-005	-1.3279557E+000
2	1	0	0	0	6.309999840595992E-001	-9.6548820E-001	-9.6578175E-001	-7.231080590281602E-002	1.000000000000000E+000	-4.9832062E-005	3.6443931E-001	6.9836453E-005	-1.3302211E+000
2	1	0	0	0	6.509999835543567E-001	-9.6448797E-001	-9.6485293E-001	-7.215372967119804E-002	1.000000000000000E+000	-5.1276333E-005	3.6774778E-001	6.9617738E-005	-1.3326007E+000
2	1	0	0	0	6.709999830491142E-001	-9.6348774E-001	-9.6383286E-001	-7.184072505010070E-002	1.000000000000000E+000	-5.2715925E-005	3.7127864E-001	6.9242451E-005	-1.3351115E+000
